"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Part Status","Quantity","Unit Price","Description"
"RC0805FR-0710KL","Yageo","311-10.0KCRCT-ND","Active","4","0.15000","RES SMD 10K OHM 1% 1/8W 0805"
"C0805C684K5RACAUTO","KEMET","399-15904-1-ND","Active","5","0.49000","CAP CER 0.68UF 50V X7R 0805"
"ESP32-WROVER-B (M213DH6464PC3Q0)","Espressif Systems","1904-1034-1-ND","Active","1","6.91000","SMD MODULE ESP32-WROVER-B, ESP32"
"RC0805JR-07270RL","Yageo","311-270ARCT-ND","Active","1","0.15000","RES SMD 270 OHM 5% 1/8W 0805"
"RC0805FR-07680RL","Yageo","311-680CRCT-ND","Active","1","0.15000","RES SMD 680 OHM 1% 1/8W 0805"
"B240S1F-7","Diodes Incorporated","B240S1F-7DICT-ND","Active","3","0.56000","DIODE SCHOTTKY 40V 2A SOD123F"
"BAV21HWF-7","Diodes Incorporated","BAV21HWF-7DICT-ND","Active","1","0.51000","DIODE GP 200V 200MA SOD123F"
"RC0805FR-07750KL","Yageo","311-750KCRCT-ND","Active","1","0.15000","RES SMD 750K OHM 1% 1/8W 0805"
"EVP-BB2A9B000","Panasonic Electronic Components","P19888CT-ND","Active","1","0.89000","SWITCH TACTILE SPST-NO 0.02A 15V"
"CJS-1200TA","Nidec Copal Electronics","563-1021-1-ND","Active","1","1.23000","SWITCH SLIDE SPDT 100MA 6V"
"TPS54202DDCT","Texas Instruments","296-44151-1-ND","Active","1","2.29000","IC REG BUCK ADJ 2A TSOT23-6"
"RC0805FR-07174KL","Yageo","311-174KCRCT-ND","Active","1","0.15000","RES SMD 174K OHM 1% 1/8W 0805"
"TPS22810DBVR","Texas Instruments","296-45297-1-ND","Active","1","0.95000","IC PWR SWITCH N-CHAN 1:1 SOT23-6"
"RC0805FR-07110KL","Yageo","311-110KCRCT-ND","Active","1","0.15000","RES SMD 110K OHM 1% 1/8W 0805"
"V5618A","Assmann WSW Components","AE10819-ND","Active","1","0.61000","HEATSINK ALUM ANOD"
"PLT133/T10W","Everlight Electronics Co Ltd","1080-1430-ND","Active","1","2.03000","TRANSMITTER FBR OPT IR PHOTOLINK"
"APT2012LSECK/J3-PRV","Kingbright","754-1935-1-ND","Active","1","0.97000","LED RED CLEAR 2SMD"
"PJ-047AH","CUI Devices","CP-047AH-ND","Active","1","1.15000","CONN PWR JACK 2X5.5MM SOLDER"
"885012207100","Würth Elektronik","732-7675-1-ND","Active","4","0.14000","CAP CER 0.22UF 50V X7R 0805"
"CL21B105KBFNFNE","Samsung Electro-Mechanics","1276-2928-1-ND","Active","8","0.22000","CAP CER 1UF 50V X7R 0805"
"CL21A225KBFNNNE","Samsung Electro-Mechanics","1276-6702-1-ND","Active","4","0.51000","CAP CER 2.2UF 50V X5R 0805"
"C2012X5R1V226M125AC","TDK Corporation","445-14428-1-ND","Active","10","1.24500","CAP CER 22UF 35V X5R 0805"
"ERA-6AEB3403V","Panasonic Electronic Components","P340KDACT-ND","Active","1","0.52000","RES 340K OHM 0.1% 1/8W 0805"
"ERA-6AEB9533V","Panasonic Electronic Components","P953KDACT-ND","Active","1","0.52000","RES 953K OHM 0.1% 1/8W 0805"
"RC0805FR-07120KL","Yageo","311-120KCRCT-ND","Active","1","0.15000","RES SMD 120K OHM 1% 1/8W 0805"
"SC4503TSKTRT","Semtech Corporation","SC4503TSKCT-ND","Obsolete","1","2.67000","IC REG BOOST ADJ 1.4A TSOT23-5"
"CL21C100JBANNNC","Samsung Electro-Mechanics","1276-1109-1-ND","Active","1","0.14000","CAP CER 10PF 50V C0G/NP0 0805"
"ASPI-4030S-4R7M-T","Abracon LLC","535-12322-1-ND","Active","1","0.74000","FIXED IND 4.7UH 2A 60 MOHM SMD"
"RL0805FR-070R16L","Yageo","311-.16SCT-ND","Active","1","0.55000","RES 0.16 OHM 1% 1/8W 0805"
"ASPI-4030S-100M-T","Abracon LLC","535-12314-1-ND","Active","1","0.74000","FIXED IND 10UH 1.5A 100 MOHM SMD"
"S2B-XH-A-1(LF)(SN)","JST Sales America Inc.","455-4226-ND","Active","1","0.26000","CONN HEADER R/A 2POS 2.5MM"
"BSS123WQ-7-F","Diodes Incorporated","BSS123WQ-7-FDICT-ND","Active","1","0.48000","MOSFET N-CH 100V 0.17A SOT323"
"NZH5V1B,115","Nexperia USA Inc.","1727-5075-1-ND","Active","1","0.29000","DIODE ZENER 5.1V 500MW SOD123F"
"5054311000","Molex","WM17048CT-ND","Active","1","0.15000","CONN SOCKET 26-30AWG CRIMP TIN"
"ERA-6AEB1582V","Panasonic Electronic Components","P15.8KDACT-ND","Active","1","0.52000","RES 15.8K OHM 0.1% 1/8W 0805"
"125SH-B-02-TS","Adam Tech","2057-125SH-B-02-TS-ND","Active","3","0.26000","CONN HEADER VERT 2POS 1.25MM"
"5055670871","Molex","WM17115CT-ND","Active","1","1.75000","CONN HEADER SMD R/A 8POS 1.25MM"
"5055650801","Molex","WM17153-ND","Active","1","0.48000","CONN RCPT HSG 1.25MM BLK"
"5055680871","Molex","WM17123CT-ND","Active","1","1.13000","CONN HEADER SMD 8POS 1.25MM"
